PC_number,PS_number,Eng- Qutbuddin Hilal,Dr.Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr.Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Total
3211451,2,0,115,145,0,0,54,3,0,0,0,0,317
3211451,3,0,68,49,0,0,31,15,1,1,0,0,165
3211452,1,1,75,55,0,0,32,34,1,5,0,0,203
3211452,2,1,50,53,0,0,30,21,0,4,0,1,160
3211452,3,0,243,171,0,1,82,37,1,14,0,0,549
3211453,1,1,208,100,1,0,28,36,2,4,1,1,382
3211454,1,1,196,208,0,0,24,92,2,43,0,4,570
3211454,2,2,248,177,0,1,4,96,4,18,3,3,556
3211456,1,1,241,77,1,1,78,18,3,3,0,2,425
3211456,2,1,344,137,2,2,62,28,2,2,1,0,581
3211456,3,0,424,73,3,0,35,39,4,2,2,0,582
3212365,1,8,263,19,1,3,13,51,1,1,2,1,363
3212365,2,1,302,25,3,1,33,45,1,0,0,1,412
3212365,3,4,307,21,1,0,32,65,6,3,2,0,441
3212365,4,2,208,13,3,0,5,22,1,0,1,4,259
3212365,5,0,311,9,1,2,22,14,1,1,1,2,364
3212366,1,0,77,49,0,0,28,48,2,1,0,0,205
3212366,2,1,65,21,0,0,13,73,2,2,0,1,178
3212367,1,1,48,13,1,1,3,26,0,0,3,1,97
3212367,2,0,47,13,1,1,3,26,0,0,3,1,95
3212368,1,4,191,70,2,0,25,11,12,0,7,0,322
3212369,1,0,162,9,0,0,86,4,2,0,0,0,263
3212369,2,2,127,5,0,0,79,3,0,0,0,0,216
3212369,3,1,286,0,0,0,73,7,1,0,1,0,369
3212370,2,0,39,1,0,0,0,1,0,0,0,0,41
3212370,3,0,57,1,0,0,10,2,0,0,0,1,71
3212371,1,2,94,1,0,0,2,2,0,0,1,2,104
3212371,2,0,100,0,0,0,4,3,2,1,1,0,111
3212372,2,0,42,1,0,0,0,29,0,0,0,1,73
3212374,1,0,101,8,0,2,3,21,0,0,0,0,135
3212374,2,0,88,4,0,1,11,19,1,1,0,0,125
3212374,3,0,218,14,0,0,12,22,2,0,0,1,269
3212376,1,1,272,6,0,0,53,2,1,1,0,0,336
3212376,2,0,207,0,0,0,45,0,1,0,0,0,253
3212377,1,0,40,52,0,0,19,11,1,2,2,0,127
3212377,2,0,86,36,2,0,16,18,2,0,1,1,162
3212377,3,0,55,53,0,0,15,18,2,2,0,0,145
3212377,4,0,33,23,0,0,22,1,1,0,0,0,80
3212378,1,0,253,22,0,1,27,37,0,3,1,0,344
3212378,2,2,246,7,0,0,25,34,0,0,0,0,314
3212379,1,0,138,7,0,0,1,8,0,0,0,0,154
3212379,2,0,176,6,0,0,2,4,0,0,1,0,189
3212380,1,0,83,7,0,0,9,17,2,1,0,0,119
3212380,2,0,43,2,0,0,3,7,0,0,0,0,55
3212381,1,0,154,1,0,0,5,21,1,0,0,0,182
3212381,2,1,27,0,0,0,0,13,0,0,0,0,41
3212382,1,0,96,71,2,1,12,23,2,0,1,2,210
3212382,2,1,59,27,0,0,3,22,2,1,0,0,115
3212382,3,1,60,57,0,0,10,11,1,6,0,0,146
3212383,1,0,36,19,0,0,0,10,1,0,0,2,68
3212383,2,0,17,6,0,0,1,2,0,0,0,0,26
3212383,3,0,23,60,0,0,0,5,0,0,0,0,88
3212384,1,2,131,8,1,0,7,7,7,1,0,1,165
3212384,2,0,102,3,0,0,12,1,3,0,1,0,122
3212384,3,0,143,1,0,0,11,1,1,0,0,0,157
