votes,ps,ﺭﺩﻧﺟ,ﯽﻫﺩﻳﺃﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,pc_code,ﺕﻳﻻﻭ,audit_number
600,4,ﻪﻧﺍﺩﺭﻣ,ﺕﺎﻣﻭﺟ ﯽﻟﺎﺣ یﻭﻧ,1210147,ﺎﮑﻳﺗﮑﭘ,699
600,1,ﻪﻧﺎﻧﺯ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻝﮔﺭﺫﻧ,1215270,ﺎﮑﻳﺗﮑﭘ,700
600,2,ﻪﻧﺎﻧﺯ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻝﮔﺭﺫﻧ,1215270,ﺎﮑﻳﺗﮑﭘ,701
600,3,ﻪﻧﺎﻧﺯ,ﻪﻣﺭﻳոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻝﮔﺭﺫﻧ,1215270,ﺎﮑﻳﺗﮑﭘ,702
600,1,ﻪﻧﺎﻧﺯ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺭﻳﻅﻧ,1211178,ﺎﮑﻳﺗﮑﭘ,703
600,2,ﻪﻧﺍﺩﺭﻣ,טﻧոﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺭﻳﻅﻧ,1211178,ﺎﮑﻳﺗﮑﭘ,704
600,1,ﻪﻧﺎﻧﺯ,ﺩﻣﺣﻣ ﮏﻳﻧ ﻪﻧﺎﻧﺯﻭ ﻪﻧﺍﺩﺭﻣ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺭﺍﻭﺟ,1204052,ﺎﮑﻳﺗﮑﭘ,705
600,3,ﻪﻧﺎﻧﺯ,ﺩﻣﺣﻣ ﮏﻳﻧ ﻪﻧﺎﻧﺯﻭ ﻪﻧﺍﺩﺭﻣ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺭﺍﻭﺟ,1204052,ﺎﮑﻳﺗﮑﭘ,706
600,2,ﻪﻧﺍﺩﺭﻣ,ﻣﺣﻣ ﮏﻳﻧ ﻪﻧﺎﻧﺯ ﻭ ﻪﻧﺍﺩﺭﻣ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻭ ﺕﺎﻣﻭﺟ ﺭﺍﻭﺟ,1204051,ﺎﮑﻳﺗﮑﭘ,707
600,3,ﻪﻧﺍﺩﺭﻣ,ﻣﺣﻣ ﮏﻳﻧ ﻪﻧﺎﻧﺯ ﻭ ﻪﻧﺍﺩﺭﻣ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻭ ﺕﺎﻣﻭﺟ ﺭﺍﻭﺟ,1204051,ﺎﮑﻳﺗﮑﭘ,708
