ﮐﻭﺩ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻭﻻﻳﺕ,ﻭﻟﺳﻭﺍﻟﻲ,ﻧﺎﻡ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﻭﻗﻳﻌﺕ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﺣﻼﺕ ﻣﺭﺩﺍﻧﻪ,ﻣﺣﻼﺕ ﺯﻧﺎﻧﻪ,ﻣﺟﻣﻭﻉ ﻣﺣﻼﺕ
0607140,ﻧﻧﮕﺭﻫﺎﺭ,ﺭﻭﺩﺍﺕ,ﺑړﻭ ﺩ ﺟﻳﻧﮑﻭ ﻣﮑﺗﺏ,ﺑړﻭ יﺭﻱ,0,2,2
0608276,ﻧﻧﮕﺭﻫﺎﺭ,ﺧﻭיﻳﺎؕﻲ,ﺟﻬﺎﺩﻱ ﺫﮐﻭﺭ ﻟﻳﺳﻪ,ﻭﺯﻳﺭ ﺍﺣﻣﺩ ﺧﻳﻝ ﮐﻠﯽ,3,0,3
0608277,ﻧﻧﮕﺭﻫﺎﺭ,ﺧﻭיﻳﺎؕﻲ,ﺟﻬﺎﺩﻱ ﺍﻧﺎﺙ ﻟﻳﺳﻪ,ﻭﺯﻳﺭ ﺍﺣﻣﺩ ﺧﻳﻝ ﮐﻠﯽ,0,3,3
0608279,ﻧﻧﮕﺭﻫﺎﺭ,ﺧﻭיﻳﺎؕﻲ,ﺍﺑﮑﻭ ﻣﺩﺭﺳﻪ,ﭘﻳﺭﻩ ﺧﻳﻝ,1,1,2
0608281,ﻧﻧﮕﺭﻫﺎﺭ,ﺧﻭיﻳﺎؕﻲ,ﺳﻧךﺎﻧﯽ ﺍﺑﺗﺩﺍﺋﻳﻪ ﻣﮑﺗﺏ,ﺳﻧךﺎﻧﯽ,2,1,3
0608285,ﻧﻧﮕﺭﻫﺎﺭ,ﺧﻭיﻳﺎؕﻲ,ﺑﺭ ﺑﻬﺎﺭ ﻟﻳﺳﻪ ﻣﮑﺗﺏ,ﺑﺭ ﺑﻬﺎﺭ,0,2,2
0608286,ﻧﻧﮕﺭﻫﺎﺭ,ﺧﻭיﻳﺎؕﻲ,ﺑﺭﺑﻬﺎﺭ ﻣﻳﺩﺍﻥ,ﺑﺭ ﺑﻬﺎﺭ,2,0,2
0608287,ﻧﻧﮕﺭﻫﺎﺭ,ﺧﻭיﻳﺎؕﻲ,ﮐﻭﺯﺑﻬﺎﺭ ﻟﻳﺳﻪ,ﮐﻭﺯﺑﻬﺎﺭ,2,1,3
0608295,ﻧﻧﮕﺭﻫﺎﺭ,ﺧﻭיﻳﺎؕﻲ,ﻏﻼﻡ ﺣﻳﺩﺭ ﺧﺎﻥ ﻋﺎﻟﯽ ﻟﻳﺳﻪ,ﻣﻳﻣﻠﻪ,2,1,3
0609438,ﻧﻧﮕﺭﻫﺎﺭ,ﺑ ﻲ ﮐﻭټ,ﺑﺎﺭﻳﮑﺎﺏ ﻣﮑﺗﺏ,ﺑﺎﺭﻳﮑﺎﺏ,2,1,3
0609439,ﻧﻧﮕﺭﻫﺎﺭ,ﺑ ﻲ ﮐﻭټ,ﻣﺷﻭﺍؕﯥ ﮐﻠﻳﻧﻳﮏ,ﻣﻳﺷﻭﺍؕﻲ,2,1,3
0609445,ﻧﻧﮕﺭﻫﺎﺭ,ﺑ ﻲ ﮐﻭټ,ﺍﻧﺑﺎﺭ ﺧﺎﻧﻪ ﮐﻠﻳﻧﻳﮏ,ﺍﻧﺑﺎﺭ ﺧﺎﻧﻪ,2,1,3
0609446,ﻧﻧﮕﺭﻫﺎﺭ,ﺑ ﻲ ﮐﻭټ,ﺗﮑﻳﻪ ﻣﮑﺗﺏ,ﺗﮑﻳﻪ,2,1,3
0609451,ﻧﻧﮕﺭﻫﺎﺭ,ﺑ ﻲ ﮐﻭټ,ﺯﻳﺎﺭﺕ ﺟﻭﻣﺎﺕ ﻣﻳﺩﺍﻥ,ﻏﺎﺯﻱ ﺁﺑﺎﺩ,0,2,2
0609456,ﻧﻧﮕﺭﻫﺎﺭ,ﺑ ﻲ ﮐﻭټ,ﻫﻠﮑﺎﻧﻭ ﻟﻳﺳﻪ,ﻻﭼﻪ ﭘﻭﺭ,2,1,3
0610330,ﻧﻧﮕﺭﻫﺎﺭ,ﺩﻩ ﺑﺎﻻ,ﺷﭘﻭﻟﻪ ﻫﻠﮑﺎﻧﻭ ﻟﻳﺳﻪ,ﺷﭘﻭﻟﻪ,2,1,3
0610331,ﻧﻧﮕﺭﻫﺎﺭ,ﺩﻩ ﺑﺎﻻ,ﻳﺎﻏﻳﺑﻧﺩ ﺍﺑﺗﺩﺍﺋﻳﻪ ﻣﮑﺗﺏ,ﻳﺎﻏﻳﺑﻧﺩ,1,1,2
0611315,ﻧﻧﮕﺭﻫﺎﺭ,ﭘﭼﻳﺭ ﻭ ﺍיﺎﻡ,ﭘﭼﻳﺭ ﮐﻠﻳﻧﻳﮏ,ﭘﺎﺱ ﭘﭼﻳﺭ,3,0,3
0613338,ﻧﻧﮕﺭﻫﺎﺭ,ﮐﻭټ,ﻟﻳﺳﻪ ﺫﮐﻭﺭ ﭘﻭﺭﺷﺎﻩ ﺧﻳﻝ,ﻻﻏﻭﺭﺟس ﮐﻠﯽ,0,2,2
0613339,ﻧﻧﮕﺭﻫﺎﺭ,ﮐﻭټ,ﻟﻳﺳﻪ ﺍﻧﺎﺙ ﭘﻭﺭﺷﺎﻩ ﺧﻳﻝ,ﻻﻏﻭﺭﺟﯽ ﮐﻠﯽ,2,1,3
0613343,ﻧﻧﮕﺭﻫﺎﺭ,ﮐﻭټ,ﻣﺗﻭﺳﻁﻪ ﻣﮑﺗﺏ ﺳﻳﺩ ﺍﺣﻣﺩﺧﻳﻝ,ﺳﻳﺩ ﺍﺣﻣﺩﺧﻳﻝ,2,1,3
0613344,ﻧﻧﮕﺭﻫﺎﺭ,ﮐﻭټ,ﺩﻭﺍﻧﻲ ﮐﻠﯥ ﻟﻭﻱ ﺟﻭﻣﺎﺕ,ﺩﻭﺍﻧﻲ ﮐﻠﯥ,3,0,3
0613345,ﻧﻧﮕﺭﻫﺎﺭ,ﮐﻭټ,ﺩﻭﺍﻧﻲ ﮐﻠﯥ ﻣﻳﺩﺍﻥ,ﺩﻭﺍﻧﻲ ﮐﻠﯥ,0,2,2
0613517,ﻧﻧﮕﺭﻫﺎﺭ,ﮐﻭټ,ﻣﮑﺗﺏ,ﺗﻧךﯽ ﮐﻠﯽ,2,1,3
0614497,ﻧﻧﮕﺭﻫﺎﺭ,יﻭﺷﺗﻪ,ﺟﻭﺍﺭ ﻣﻌﻠﻡ ﻏﻧﻲ ﮐﻭﺭ,ﺧﻭיﺎﺧﻳﻝ,0,2,2
0615519,ﻧﻧﮕﺭﻫﺎﺭ,ﺍﭼﻳﻥ,ﻣﻠﮏ ﮔﻝ ﻣﺣﻣﺩ ﺣﺟﺭﻩ,ﺻﻧﺩﻭﻕ ﮐﻠﯽ,2,1,3
0616422,ﻧﻧﮕﺭﻫﺎﺭ,ﺷﻳﻧﻭﺍﺭ,ﺣﻳﺎﺕ ﺧﺎﻥ ﺟﻭﻣﺎﺕ,ﻭﻳﺎﻟﻪ ٧٢,0,3,3
